"","country_code","age","gender","rural","dem_education_level","dem_full_time_job","dem_has_children","awareness","vote","effect","age_group","pro_anxiety","pro_equality","pro_indep","pro_solidarity","pro_bureau","pro_volunteer","pro_none","con_expensive","con_stopworking","con_foreigners","con_merit","con_need","con_dependence","con_none","pro_count","con_count"
"1","AT",61,"male","rural","no","no","no","I know something about it","I would not vote","None of the above","40_65",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
"2","AT",57,"male","urban","high","yes","yes","I understand it fully","I would probably vote for it","A basic income would not affect my work choices","40_65",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1
"3","AT",32,"male","urban",NA,"no","no","I have heard just a little about it","I would not vote","‰Û_ gain additional skills","26_39",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
"4","AT",45,"male","rural","high","yes","yes","I have heard just a little about it","I would probably vote for it","‰Û_ work less","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0
"5","AT",41,"female","urban","high","yes","yes","I have heard just a little about it","I would probably vote for it","None of the above","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,3
"6","AT",26,"female","rural","high","yes","no","I understand it fully","I would vote against it","A basic income would not affect my work choices","26_39",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,3
"7","AT",26,"female","urban","medium","no","no","I know something about it","I would probably vote for it","‰Û_ work as a freelancer","26_39",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,3
"8","AT",47,"male","urban","medium","yes","no","I know something about it","I would probably vote for it","A basic income would not affect my work choices","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,4
"9","AT",34,"female","urban","medium","yes","no","I have heard just a little about it","I would probably vote for it","None of the above","26_39",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,2
"10","AT",22,"female","urban","no","no","yes","I understand it fully","I would vote for it","‰Û_ do more volunteering work","14_25",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
